path,file_size,compressed_size,status,reason
ARTIFACT_MANIFEST_PLATFORM_ASSISTANT_MATURITY_CLOSURE_GATE_2026_05_25.md,1141,376,quarantine,historical_root_document
ARTIFACT_MANIFEST_PLATFORM_DATABASE_DEPENDENCY_WAVE_A_EXACT_BODY_EXPORT_REVIEW_INTAKE_2026_05_26.md,980,373,quarantine,historical_root_document
ARTIFACT_MANIFEST_PLATFORM_DATABASE_DEPENDENCY_WAVE_A_SQL29B_SAFE_BYPASS_2026_05_26.md,1412,545,quarantine,historical_root_document
ARTIFACT_MANIFEST_PLATFORM_DATABASE_OWNERSHIP_CLOSURE_MASTER_PACK_2026_05_25.md,1132,514,quarantine,historical_root_document
ARTIFACT_MANIFEST_PLATFORM_DEPENDENCY_FONT_AWESOME_ICONDATA_FINAL_MIGRATION_2026_05_31.md,2699,728,quarantine,historical_root_document
ARTIFACT_MANIFEST_PLATFORM_DEVELOPMENT_10J0G_2026_05_25.md,1053,459,quarantine,historical_root_document
ARTIFACT_MANIFEST_PLATFORM_DEVELOPMENT_10J0H_2026_05_25.md,860,396,quarantine,historical_root_document
ARTIFACT_MANIFEST_PLATFORM_DEVELOPMENT_10J0I_2026_05_25.md,1019,465,quarantine,historical_root_document
ARTIFACT_MANIFEST_PLATFORM_DEVELOPMENT_10L1_2026_05_25.md,852,438,quarantine,historical_root_document
ARTIFACT_MANIFEST_PLATFORM_EXTERNAL_SERVICES_PRAYER_TIMES_RESILIENCE_2026_05_30.md,1445,522,quarantine,historical_root_document
ARTIFACT_MANIFEST_PLATFORM_NAVIGATION_RUNTIME_SOURCE_CERTIFICATION_400_ROOT_FIX_2026_05_29.md,2141,696,quarantine,historical_root_document
ARTIFACT_MANIFEST_PLATFORM_NAVIGATION_SCHEMA_BOOTSTRAP_VALIDATION_RESULT_2026_05_29.md,1260,437,quarantine,historical_root_document
ARTIFACT_MANIFEST_PUBLIC_SCHEMA_PHASE2_RBAC_ADAPTER_REMEDIATION_2026_05_23.md,1909,619,quarantine,historical_root_document
ARTIFACT_MANIFEST_PUBLIC_SERVICES_LEGACY_COMPATIBILITY_REPAIR_2026_05_30.md,1256,493,quarantine,historical_root_document
ARTIFACT_MANIFEST_PUBLIC_SERVICES_ROOT_CUTOVER_ANALYZER_RUNTIME_CLOSURE_2026_05_30.md,1440,544,quarantine,historical_root_document
ARTIFACT_MANIFEST_PUBLIC_SERVICES_ROUTE_ALIAS_CANONICALIZATION_REPAIR_2026_05_30.md,944,407,quarantine,historical_root_document
ARTIFACT_MANIFEST_SERVICE_CENTER_BROWSER_UAT_RETEST_RESULT_INTAKE_2026_05_31.md,997,469,quarantine,historical_root_document
ARTIFACT_MANIFEST_SERVICE_CENTER_OWNERSHIP_VERIFICATION_RUNTIME_SOURCE_CLOSURE_2026_05_31.md,1921,697,quarantine,historical_root_document
ARTIFACT_MANIFEST_SERVICE_CENTER_RUNTIME_EVIDENCE_INTAKE_2026_05_31.md,1466,663,quarantine,historical_root_document
BASELINE_CHANGELOG.md,339,235,quarantine,loose_root_document_replaced_by_summary
BASELINE_CHANGELOG_ACCESS_ROLE_SEMANTICS_UNIT_ADMIN_SUPERUSER_LABEL_CORRECTION_2026_06_04.md,1234,652,quarantine,historical_root_document
BASELINE_CHANGELOG_AWQAF_SYSTEM_5_AWQAF_ASSIST_COMPILE_CLOSURE_2026_05_30.md,970,559,quarantine,historical_root_document
BASELINE_CHANGELOG_BILLING_SYSTEM_FINANCIAL_CONTRACT_BOOTSTRAP_ZAKAT_PAYMENT_READINESS_ONLY_2026_05_22.md,1664,829,quarantine,historical_root_document
BASELINE_CHANGELOG_BILLING_SYSTEM_FINANCIAL_CONTRACT_SAFE_SQL_RETEST_ROOT_FIX_RESULT_INTAKE_ZAKAT_PAYMENT_READINESS_DECISION_2026_05_22.md,3439,1460,quarantine,historical_root_document
BASELINE_CHANGELOG_BILLING_SYSTEM_FINANCIAL_CONTRACT_SQL_RESULT_INTAKE_SOVEREIGN_BOUNDARY_FIX_2026_05_22.md,612,390,quarantine,historical_root_document
BASELINE_CHANGELOG_BILLING_SYSTEM_RELATION_NAME_PROBE_ROOT_FIX_2026_05_22.md,997,553,quarantine,historical_root_document
BASELINE_CHANGELOG_DATABASE_WAVE_B0A_2026_05_19.md,1013,535,quarantine,historical_root_document
BASELINE_CHANGELOG_DATABASE_WAVE_B0B.md,967,536,quarantine,historical_root_document
BASELINE_CHANGELOG_DATABASE_WAVE_B0B1.md,1422,789,quarantine,historical_root_document
BASELINE_CHANGELOG_DATABASE_WAVE_B0C_2026_05_19.md,830,422,quarantine,historical_root_document
BASELINE_CHANGELOG_DATABASE_WAVE_B0C1_SQL_ALIAS_HOTFIX.md,1426,721,quarantine,historical_root_document
BASELINE_CHANGELOG_DATABASE_WAVE_B0C2_RESULT_INTAKE.md,1460,793,quarantine,historical_root_document
BASELINE_CHANGELOG_DATABASE_WAVE_B1A_ANNOUNCEMENT_DETAIL_DEEP_FIX_2026_05_20.md,2053,935,quarantine,historical_root_document
BASELINE_CHANGELOG_DATABASE_WAVE_B1A_ANNOUNCEMENT_DETAIL_DEEP_FIX_RETEST_RESULT_INTAKE_2026_05_20.md,2551,1094,quarantine,historical_root_document
BASELINE_CHANGELOG_DATABASE_WAVE_B1A_ANNOUNCEMENT_DETAIL_RETEST_RESULT_INTAKE_2026_05_20.md,2033,968,quarantine,historical_root_document
BASELINE_CHANGELOG_DATABASE_WAVE_B1A_ANNOUNCEMENT_DETAIL_RUNTIME_RESOLVER_FIX_2026_05_20.md,2423,1061,quarantine,historical_root_document
BASELINE_CHANGELOG_DATABASE_WAVE_B1A_CONTROLLED_FLUTTER_MEDIA_RUNTIME_REROUTE_BROWSER_UAT_2026_05_20.md,3357,1447,quarantine,historical_root_document
BASELINE_CHANGELOG_DATABASE_WAVE_B1A_CONTROLLED_MEDIA_IMPORT_SEED_APPLY_PACK.md,1491,859,quarantine,historical_root_document
BASELINE_CHANGELOG_DATABASE_WAVE_B1A_CONTROLLED_MEDIA_IMPORT_SEED_APPLY_RESULT_INTAKE.md,2246,987,quarantine,historical_root_document
BASELINE_CHANGELOG_DATABASE_WAVE_B1A_CONTROLLED_MEDIA_IMPORT_SEED_CONTRACT_REVIEW_2026_05_20.md,1667,818,quarantine,historical_root_document
BASELINE_CHANGELOG_DATABASE_WAVE_B1A_CONTROLLED_MEDIA_IMPORT_SEED_PLANNING_PACK.md,987,525,quarantine,historical_root_document
BASELINE_CHANGELOG_DATABASE_WAVE_B1A_FINAL_CONSOLIDATION_CONSOLE_EVIDENCE_NEWS_ANNOUNCEMENTS_CANDIDATE_CLOSURE_2026_05_21.md,2148,982,quarantine,historical_root_document
BASELINE_CHANGELOG_DATABASE_WAVE_B1A_FLUTTER_MEDIA_RUNTIME_REROUTE_BROWSER_UAT_RESULT_INTAKE_2026_05_20.md,2307,1085,quarantine,historical_root_document
BASELINE_CHANGELOG_DATABASE_WAVE_B1A_MEDIA_BOOTSTRAP_APPLY_RESULT_INTAKE.md,2904,939,quarantine,historical_root_document
BASELINE_CHANGELOG_DATABASE_WAVE_B1A_MEDIA_BOOTSTRAP_CONTRACT_APPROVAL.md,870,557,quarantine,historical_root_document
BASELINE_CHANGELOG_DATABASE_WAVE_B1A_MEDIA_BOOTSTRAP_DRAFT.md,745,433,quarantine,historical_root_document
BASELINE_CHANGELOG_DATABASE_WAVE_B1A_MEDIA_BOOTSTRAP_LOCATIONS_AUTHORITY.md,1099,501,quarantine,historical_root_document
BASELINE_CHANGELOG_DATABASE_WAVE_B1A_MEDIA_CENTER_BOOTSTRAP_CONTROLLED_SCHEMA_APPLY.md,718,438,quarantine,historical_root_document
BASELINE_CHANGELOG_DATABASE_WAVE_B1A_MEDIA_COMPATIBILITY_CLOSURE_PLANNING_PACK.md,1349,636,quarantine,historical_root_document
BASELINE_CHANGELOG_DATABASE_WAVE_B1A_MEDIA_LOCATIONS_READINESS_2026_05_19.md,1144,521,quarantine,historical_root_document
BASELINE_CHANGELOG_DATABASE_WAVE_B1A_MEDIA_PUBLIC_COMPAT_WRAPPER_ACTIVATION.md,1257,607,quarantine,historical_root_document
BASELINE_CHANGELOG_DATABASE_WAVE_B1A_MEDIA_PUBLIC_WRAPPER_RESULT_INTAKE.md,1377,640,quarantine,historical_root_document
BASELINE_CHANGELOG_DATABASE_WAVE_B1A_MEDIA_RUNTIME_BROWSER_CLICKTHROUGH_EVIDENCE_INTAKE_2026_05_20.md,1295,685,quarantine,historical_root_document
BASELINE_CHANGELOG_DATABASE_WAVE_B1A_MEDIA_RUNTIME_CONSOLE_REVIEW_PRODUCTION_CANDIDATE_DECISION_2026_05_21.md,3290,1430,quarantine,historical_root_document
BASELINE_CHANGELOG_DATABASE_WAVE_B1A_MEDIA_RUNTIME_STRATEGY_DECISION_PACK.md,1406,683,quarantine,historical_root_document
BASELINE_CHANGELOG_DATABASE_WAVE_B1A_MEDIA_WRAPPER_NONZERO_PREFLIGHT_RESULT_INTAKE_2026_05_20.md,2294,1077,quarantine,historical_root_document
BASELINE_CHANGELOG_DATABASE_WAVE_B1A_MEDIA_WRAPPER_NONZERO_RUNTIME_PREFLIGHT_PACK_2026_05_20.md,1426,765,quarantine,historical_root_document
BASELINE_CHANGELOG_DATABASE_WAVE_B1A_SERVICES_CLOSURE_PACK_2026_05_19.md,1698,883,quarantine,historical_root_document
BASELINE_CHANGELOG_DATABASE_WAVE_B1A0_1.md,4120,1437,quarantine,historical_root_document
BASELINE_CHANGELOG_DATABASE_WAVE_B1A0_SERVICES_COMPATIBILITY_ACTIVATION.md,2102,852,quarantine,historical_root_document
BASELINE_CHANGELOG_DATABASE_WAVE_B1A1.md,1657,808,quarantine,historical_root_document
BASELINE_CHANGELOG_DATABASE_WAVE_B1A1_1.md,1835,937,quarantine,historical_root_document
BASELINE_CHANGELOG_FONT_AWESOME_11_RUNTIME_COMPILE_LOCK_ALIGNMENT_HOTFIX_2026_06_01.md,1600,889,quarantine,historical_root_document
BASELINE_CHANGELOG_HOME_HERO_RESPONSIVE_OVERFLOW_HOTFIX_2026_05_31.md,1730,942,quarantine,historical_root_document
BASELINE_CHANGELOG_MEDIA_CENTER_ANALYZER_RUNTIME_RESULT_INTAKE_AWQAF_ASSIST_BLOCKER_2026_05_31.md,1990,1131,quarantine,historical_root_document
BASELINE_CHANGELOG_MEDIA_CENTER_SCOPED_RUNTIME_CLOSURE_AWQAF_DEFERRAL_2026_05_31.md,2417,1192,quarantine,historical_root_document
BASELINE_CHANGELOG_MEDIA_SERVICES_FINAL_CLOSURE_LEGACY_QUARANTINE_2026_05_22.md,635,408,quarantine,historical_root_document
BASELINE_CHANGELOG_MEDIA_SERVICES_FINAL_CLOSURE_SQL_RESULT_INTAKE_2026_05_22.md,1532,844,quarantine,historical_root_document
BASELINE_CHANGELOG_MEGA_BATCH_PUBLIC_MAIN_PAGES_PWF_SIS_INVENTORY_OFFICIAL_DATA_POLISH_2026_05_22.md,1123,606,quarantine,historical_root_document
BASELINE_CHANGELOG_MEGA_BATCH_PUBLIC_PLATFORM_RUNTIME_CONSOLIDATION_2026_05_21.md,2205,1061,quarantine,historical_root_document
BASELINE_CHANGELOG_MEGA_BATCH_PUBLIC_RUNTIME_BROWSER_CONSOLE_EVIDENCE_INTAKE_FINAL_CERTIFICATION_DECISION_2026_05_21.md,1384,738,quarantine,historical_root_document
BASELINE_CHANGELOG_MEGA_BATCH_PUBLIC_RUNTIME_UAT_SERVICES_MEDIA_SHELL_CLOSURE_2026_05_21.md,2115,968,quarantine,historical_root_document
BASELINE_CHANGELOG_N2_31_1.md,895,573,quarantine,historical_root_document
BASELINE_CHANGELOG_N2_32.md,934,526,quarantine,historical_root_document
BASELINE_CHANGELOG_N2_33A.md,800,510,quarantine,historical_root_document
BASELINE_CHANGELOG_PASSWORD_RECOVERY_AUTO_SESSION_USED_CODE_FALLBACK_HOTFIX_2026_06_04.md,903,538,quarantine,historical_root_document
BASELINE_CHANGELOG_PASSWORD_RECOVERY_HASH_ROUTER_CODE_EXCHANGE_HOTFIX_2026_06_04.md,977,634,quarantine,historical_root_document
BASELINE_CHANGELOG_PASSWORD_RECOVERY_PKCE_SAME_ORIGIN_INIT_HOTFIX_2026_06_04.md,847,557,quarantine,historical_root_document
BASELINE_CHANGELOG_PASSWORD_RECOVERY_RESET_UPDATE_SESSION_SAME_PASSWORD_HOTFIX_2026_06_04.md,1585,908,quarantine,historical_root_document
BASELINE_CHANGELOG_PASSWORD_RECOVERY_SUCCESS_SAME_TAB_URL_SANITIZER_2026_06_04.md,850,504,quarantine,historical_root_document
BASELINE_CHANGELOG_PASSWORD_RECOVERY_SUPPLEMENT_RUNTIME_IMPLEMENTATION_2026_06_04.md,1384,678,quarantine,historical_root_document
BASELINE_CHANGELOG_PASSWORD_RECOVERY_URL_SANITIZER_ANALYZER_LINT_CLOSURE_2026_06_04.md,1450,756,quarantine,historical_root_document
BASELINE_CHANGELOG_PLATFORM_ACCESS_GATEWAY_STAGING_CERTIFICATION_2026_06_04.md,516,313,quarantine,historical_root_document
BASELINE_CHANGELOG_PLATFORM_ACCESS_GATEWAY_UAT_RETEST_RPC400_CLOSURE_2026_06_03.md,1755,974,quarantine,historical_root_document
BASELINE_CHANGELOG_PLATFORM_ACCESS_GATEWAY_UAT_RPC400_SAFE_FALLBACK_2026_06_03.md,1124,634,quarantine,historical_root_document
BASELINE_CHANGELOG_PLATFORM_ASSISTANT_MATURITY_CLOSURE_GATE_2026_05_25.md,919,494,quarantine,historical_root_document
BASELINE_CHANGELOG_PLATFORM_DATA_OWNERSHIP_CONTROLLED_EXECUTION_RUNTIME_REROUTE_UAT_2026_05_21.md,1694,859,quarantine,historical_root_document
BASELINE_CHANGELOG_PLATFORM_DATA_OWNERSHIP_CONTROLLED_EXECUTION_SQL_RESULT_INTAKE_2026_05_21.md,1882,894,quarantine,historical_root_document
BASELINE_CHANGELOG_PLATFORM_DATA_OWNERSHIP_STABILIZATION_DISCOVERY_FINAL_EXECUTION_2026_05_21.md,948,511,quarantine,historical_root_document
BASELINE_CHANGELOG_PLATFORM_DATA_OWNERSHIP_STABILIZATION_SQL_RESULT_INTAKE_2026_05_21.md,2113,970,quarantine,historical_root_document
BASELINE_CHANGELOG_PLATFORM_DATABASE_DEPENDENCY_WAVE_A_ACCESS_HELPERS_ACTUAL_REMEDIATION_2026_05_26.md,889,517,quarantine,historical_root_document
BASELINE_CHANGELOG_PLATFORM_DATABASE_DEPENDENCY_WAVE_A_EXACT_BODY_EXPORT_REVIEW_INTAKE_2026_05_26.md,463,279,quarantine,historical_root_document
BASELINE_CHANGELOG_PLATFORM_DATABASE_DEPENDENCY_WAVE_A_SQL29B_SAFE_BYPASS_2026_05_26.md,457,298,quarantine,historical_root_document
BASELINE_CHANGELOG_PLATFORM_DATABASE_OWNERSHIP_CLOSURE_MASTER_PACK_2026_05_25.md,991,575,quarantine,historical_root_document
BASELINE_CHANGELOG_PLATFORM_DEVELOPMENT_6_DATABASE_WAVE_B1A_AGGREGATED_2026_05_20.md,1455,724,quarantine,historical_root_document
BASELINE_CHANGELOG_PLATFORM_DEVELOPMENT_7_FINAL_CONSOLIDATED_HANDOFF_2026_05_22.md,1293,710,quarantine,historical_root_document
BASELINE_CHANGELOG_PLATFORM_DEVELOPMENT_10_CONSOLIDATED_IMPLEMENTATION_CANDIDATE_2026_05_23.md,1521,764,quarantine,historical_root_document
BASELINE_CHANGELOG_PLATFORM_DEVELOPMENT_10A_AUTHORIZATION_TOKEN_BLOCKER_2026_05_23.md,1322,647,quarantine,historical_root_document
BASELINE_CHANGELOG_PLATFORM_DEVELOPMENT_10A_FINAL_SQL42_45_RESULT_INTAKE_2026_05_23.md,1164,527,quarantine,historical_root_document
BASELINE_CHANGELOG_PLATFORM_DEVELOPMENT_10B_OWNER_WRITE_RPC_EXECUTABLE_IMPLEMENTATION_2026_05_24.md,514,325,quarantine,historical_root_document
BASELINE_CHANGELOG_PLATFORM_DEVELOPMENT_10C_OWNER_WRITE_RPC_ANON_REVOKE_HOTFIX_2026_05_24.md,708,445,quarantine,historical_root_document
BASELINE_CHANGELOG_PLATFORM_DEVELOPMENT_10D_ANON_REVOKE_CONSOLE_HARDENING_2026_05_24.md,751,446,quarantine,historical_root_document
BASELINE_CHANGELOG_PLATFORM_DEVELOPMENT_10E_BROWSER_CONSOLE_RETEST_2026_05_24.md,820,490,quarantine,historical_root_document
BASELINE_CHANGELOG_PLATFORM_DEVELOPMENT_10F_FINAL_NEGATIVE_UAT_RESULT_INTAKE_2026_05_24.md,733,446,quarantine,historical_root_document
BASELINE_CHANGELOG_PLATFORM_DEVELOPMENT_10F_NEGATIVE_UAT_ACTOR_BUNDLE_2026_05_24.md,1434,783,quarantine,historical_root_document
BASELINE_CHANGELOG_PLATFORM_DEVELOPMENT_10H_ACTUAL_NEGATIVE_UAT_EVIDENCE_BUNDLE_2026_05_24.md,398,260,quarantine,historical_root_document
BASELINE_CHANGELOG_PLATFORM_DEVELOPMENT_10I_ACTUAL_NEGATIVE_UAT_RESULT_INTAKE_2026_05_24.md,1298,636,quarantine,historical_root_document
BASELINE_CHANGELOG_PLATFORM_DEVELOPMENT_10J0A_SITE_CONTENT_ADAPTER_COMPILE_FIX_2026_05_24.md,1809,863,quarantine,historical_root_document
BASELINE_CHANGELOG_PLATFORM_DEVELOPMENT_10J0B_ANALYZER_CLEANUP_2026_05_24.md,2134,1041,quarantine,historical_root_document
BASELINE_CHANGELOG_PLATFORM_DEVELOPMENT_10J0C_ACCESS_PROFILE_RBAC_406_FIX_2026_05_24.md,2633,1315,quarantine,historical_root_document
BASELINE_CHANGELOG_PLATFORM_DEVELOPMENT_10J0D_OBSERVABILITY_404_FIX_2026_05_24.md,1627,837,quarantine,historical_root_document
BASELINE_CHANGELOG_PLATFORM_DEVELOPMENT_10J0G_HOME_MANAGEMENT_RESPONSIVE_SPLIT_LAYOUT_FIX_2026_05_25.md,1693,934,quarantine,historical_root_document
BASELINE_CHANGELOG_PLATFORM_DEVELOPMENT_10J0H_HOME_MANAGEMENT_FINITE_CONSTRAINTS_FIX_2026_05_25.md,1493,833,quarantine,historical_root_document
BASELINE_CHANGELOG_PLATFORM_DEVELOPMENT_10J0I_PLATFORM_CENTER_CARD_FINITE_LAYOUT_FIX_2026_05_25.md,1963,987,quarantine,historical_root_document
BASELINE_CHANGELOG_PLATFORM_DEVELOPMENT_10L1_REPORTS_SCREEN_FLEX_MIGRATION_2026_05_25.md,1624,891,quarantine,historical_root_document
BASELINE_CHANGELOG_PLATFORM_EXTERNAL_SERVICES_PRAYER_TIMES_RESILIENCE_2026_05_30.md,2176,1030,quarantine,historical_root_document
BASELINE_CHANGELOG_PLATFORM_EXTERNAL_SERVICES_PRAYER_TIMES_RESILIENCE_UAT_RESULT_INTAKE_2026_05_30.md,2426,1176,quarantine,historical_root_document
BASELINE_CHANGELOG_PLATFORM_NAVIGATION_BROWSER_UAT_VISUAL_INTAKE_2026_05_29.md,2697,1211,quarantine,historical_root_document
BASELINE_CHANGELOG_PLATFORM_NAVIGATION_FLUTTER_RUNTIME_READ_ADAPTER_REROUTE_GATED_2026_05_29.md,1331,608,quarantine,historical_root_document
BASELINE_CHANGELOG_PLATFORM_NAVIGATION_RUNTIME_SOURCE_CERTIFICATION_400_ROOT_FIX_2026_05_29.md,2796,1285,quarantine,historical_root_document
BASELINE_CHANGELOG_PLATFORM_NAVIGATION_RUNTIME_SOURCE_CERTIFICATION_EVIDENCE_INTAKE_2026_05_30.md,2281,960,quarantine,historical_root_document
BASELINE_CHANGELOG_PLATFORM_NAVIGATION_SCHEMA_BOOTSTRAP_VALIDATION_RESULT_2026_05_29.md,1027,501,quarantine,historical_root_document
BASELINE_CHANGELOG_PLATFORM_NAVIGATION_STRICT_CONSOLE_EXTERNAL_ERROR_TRIAGE_2026_05_30.md,968,566,quarantine,historical_root_document
BASELINE_CHANGELOG_PLATFORM_PUBLIC_RUNTIME_CONSOLIDATION_2026_05_30.md,927,521,quarantine,historical_root_document
BASELINE_CHANGELOG_PUBLIC_CHAT_ROUTE_CANONICALIZATION_CLOSURE_2026_05_22.md,1320,674,quarantine,historical_root_document
BASELINE_CHANGELOG_PUBLIC_MAIN_PAGES_PWF_SIS_INVENTORY_SQL_RESULT_INTAKE_2026_05_22.md,986,553,quarantine,historical_root_document
BASELINE_CHANGELOG_PUBLIC_MAIN_PAGES_PWF_SIS_POLISH_BROWSER_CONSOLE_UAT_EVIDENCE_CLOSURE_2026_05_22.md,1019,555,quarantine,historical_root_document
BASELINE_CHANGELOG_PUBLIC_MAIN_PAGES_PWF_SIS_POLISH_BROWSER_CONSOLE_UAT_RESULT_INTAKE_FINAL_CERTIFICATION_DECISION_2026_05_22.md,1290,717,quarantine,historical_root_document
BASELINE_CHANGELOG_PUBLIC_MAIN_PAGES_PWF_SIS_POLISH_OFFICIAL_DATA_BINDING_EXECUTION_2026_05_22.md,1229,632,quarantine,historical_root_document
BASELINE_CHANGELOG_PUBLIC_PLATFORM_RUNTIME_COMPLETION_MEDIA_SERVICES_OPERATIONAL_HARDENING_2026_05_21.md,918,531,quarantine,historical_root_document
BASELINE_CHANGELOG_PUBLIC_ROUTE_CANONICALIZATION_2026_05_22.md,1359,679,quarantine,historical_root_document
BASELINE_CHANGELOG_PUBLIC_ROUTE_CANONICALIZATION_UAT_RESULT_INTAKE_2026_05_22.md,1930,846,quarantine,historical_root_document
BASELINE_CHANGELOG_PUBLIC_RUNTIME_BROWSER_CONSOLE_UAT_CLOSURE_FINAL_CERTIFICATION_2026_05_21.md,1701,835,quarantine,historical_root_document
BASELINE_CHANGELOG_PUBLIC_RUNTIME_CONSOLE_ERROR_HARDENING_2026_05_21.md,1085,607,quarantine,historical_root_document
BASELINE_CHANGELOG_PUBLIC_RUNTIME_CONSOLE_HARDENING_COMPILE_HOTFIX_2026_05_21.md,1963,973,quarantine,historical_root_document
BASELINE_CHANGELOG_PUBLIC_RUNTIME_CONSOLE_HARDENING_RETEST_RESULT_INTAKE_2026_05_21.md,2172,1117,quarantine,historical_root_document
BASELINE_CHANGELOG_PUBLIC_RUNTIME_CONSOLE_ROOT_CAUSE_CONTRACT_FIX_2026_05_21.md,1598,821,quarantine,historical_root_document
BASELINE_CHANGELOG_PUBLIC_RUNTIME_ROOT_CAUSE_RETEST_EVIDENCE_FINAL_SHELL_DECISION_2026_05_21.md,2248,998,quarantine,historical_root_document
BASELINE_CHANGELOG_PUBLIC_SCHEMA_CONTROLLED_MIGRATION_DEPENDENCY_ANALYZER_BROWSER_UAT_RUNTIME_CERTIFICATION_GATE_2026_05_22.md,1852,990,quarantine,historical_root_document
BASELINE_CHANGELOG_PUBLIC_SCHEMA_CONTROLLED_MIGRATION_GATE_RESULT_INTAKE_2026_05_22.md,1662,794,quarantine,historical_root_document
BASELINE_CHANGELOG_PUBLIC_SCHEMA_CONTROLLED_MIGRATION_ROUTE_CONSOLE_REROUTE_PLANNING_GATE_2026_05_22.md,860,526,quarantine,historical_root_document
BASELINE_CHANGELOG_PUBLIC_SCHEMA_CONTROLLED_MIGRATION_SQL_RESULT_INTAKE_STATUS_RPC_GATE_FIX_2026_05_22.md,1304,693,quarantine,historical_root_document
BASELINE_CHANGELOG_PUBLIC_SCHEMA_CONTROLLED_MIGRATION_SQL06_HOTFIX_2026_05_23.md,876,508,quarantine,historical_root_document
BASELINE_CHANGELOG_PUBLIC_SCHEMA_CONTROLLED_MIGRATION_STATUS_RPC_RETEST_RESULT_INTAKE_2026_05_22.md,1679,828,quarantine,historical_root_document
BASELINE_CHANGELOG_PUBLIC_SCHEMA_CONTROLLED_OWNERSHIP_MIGRATION_COMPATIBILITY_WRAPPERS_2026_05_22.md,1075,571,quarantine,historical_root_document
